Incidents
11
14
6
39
3
9
6
1
8
24
6
21
10
5
19
10
10
3
3
2
21
4
37
1
14
5
10
1
8
3
6
5
4
3
8
7
5
6
17
3
17
9
2
3
5
20
17
6
8
2
2
10
2
5
13
15
27
92
6
1
21
18
30
7
28
13
50
5
30
5
4
1
3
3
13
12
38
4
15
11
10
11
3
5
22
14
10
18
8
11
2
5
32
7
21
9
6
10
2
1
16
11
8
5
8
9
9
1
1
6
6
2
28
6
2
2
24
8
8
5
7
9
2
2
10
3
14
40
9
23
6
12
8
4
2
5
2
28
26
39
7
8
4
42
12
55
8
25
19
20
11
4
27
19
17
26
22
39
23
16
8
58
24
1
25
6
38
5
12
16
5
1
19
29
25
18
20
11
2
7
22
6
9
6
11
11
14
24
6
2
3
16
5
6
3
7
18
9
4
6
33
3
7
9
2
9
26
18
12
21
12
7
7
13
25
3
1
6
41
2
23
6
14
17
23
8
2
6
6
7
1
3
1
7
9
12
4
10
3
16
1
1
14
2
2
1
3
10
8
11
3
4
1
7
9
3
12
2
13
14
5
3
5
14
9
36
11
2
4
4
4
3
8
4
17
13
17
37
2
10
35
22
4
3
9
7
8
1
19
8
7
12
10
4
1
14
13
10
4
17
20
26
14
2
4
9
6
3
23
28
38
14
2
1
19
25
11
1
8
4
12
5
9
8
1
5
24
2
16
3
5
56
1
2
20
7
9
14
12
21
47
11
5
9
9
1
3
8
10
43
3
11
8
5
1
9
3
4
5
1
4
11
12
32
9
26
11
5
11
11
15
5
5
5
35
21
24
2
12
2
9
18
8
7
13
9
2
5
2
6
19
9
8
5
4
5
10
20
11
10
6
11
2
25
12
23
11
2
6
11
7
3
6
46
10
1
7
12
6
9
7
8
5
18
28
3
9
22
16
5
7
1
14
22
4
1
29
13
26
3
6
12
12
36
1
3
4
12
17
6
5
6
1
1
4
27
29
25
37
30
24
4
6
6
32
7
4
5
9
3
3
4
3
29
22
8
12
6
3
28
2
24
23
33
3
3
5
8
13
19
13
3
5
2
10
4
1
1
3
3
9
5
9
7
2
3
3
12
11
16
26
22
6
3
15
27
2
13
4
32
18
24
7
8
2
6
1
6
13
14
7
6
18
39
3
7
4
9
7
11
5
16
15
4
1
8
14
30
8
15
28
4
13
22
4
2
25
20
23
13
16
14
3
16
6
21
3
4
14
3
6
39
19
29
11
31
10
9
8
16
5
2
5
19
3
7
3
1
14
4
6
10
10
16
10
17
6
8
4
14
16
27
3
10
15
4
3
16
10
1
12
5
7
19
2
5
1
3
2
3
12
12
6
7
4
10
3
1
9
2
2
5
4
1
2
14
20
4
6
8
12
2
7
8
3
1
18
15
19
15
19
40
15
26
7
9
8
8
11
16
21
12
28
14
6
2
1
30
10
23
10
10
7
7
14
12
5
8
11
16
18
4
4
25
12
4
11
3
15
30
22
8
6
5
7
8
2
5
2
10
9
4
3
13
21
17
18
15
11
2
3
9
8
24
4
9
4
8
12
2
1
6
4
8
13
13
30
13
9
10
11
4
15
18
30
8
6
27
21
25
3
5
6
21
8
9
13
1
9
3
3
8
6
22
5
46
17
2
9
12
11
7
5
5
4
18
16
8
4
3
9
34
20
20
17
10
6
5
4
8
6
1
2
5
10
3
4
3
6
1
11
1
2
5
5
1
2
2
6
14
13
8
9
18
3
4
5
2
3
8
7
6
4
14
42
2
10
9
1
10
1
2
6
6
3
8
6
2
1
1
13
8
4
10
2
1
3
1
2
4
3
8
18
4
4
3
2
4
1
6
7
5
1
4
3
4
5
20
8
2
34
21
9
20
31
12
21
6
11
20
35
17
19
5
6
5
12
1
27
15
24
20
11
9
1
1
1
2
7
13
18
7
18
7
19
24
15
28
4
1
1
1
5
3
1
3
1
1
3
4
9
1
7
18
4
4
1
2
1
1
1
1
2
3
2
1
1
5
3
1
1
2
12
1
1
1
3
3
1
1
1
2
1
1
1
1
2
1
1
1
2
2
3
1
4
2
3
3
1
3
3
2
1
1
2
6
1
2
1
2
1
1
1
1
1
2
1
1
1
2
1
1
1
3
1
1
1
2
1
2
2
1
1
2
1
2
9
2
1
3
1
2
2
1
4
1
1
1
5
8
2
1
2
1
6
1
2
3
1
1
13
4
2
2
1
1
1
1
4
1
4
8
5
4
1
5
1
3
3
2
1
1
1
3
2
1
1
4
1
1
2
3
5
2
3
1
6
2
1
5
4
3
1
2
2
2
1
1
1
1
2
6
1
2
1
2
1
1
3
1
1
1
1
1
2
1
2
1
1
2
2
1
3
1
3
2
1
1
1
5
1
2
1
1
3
1
2
3
1
1
1
1
1
1
1
1
1
2
1
1
1
2
1
1
1
1
1
2
1
1
1
1
1
1
2
1
1
1
1
2
1
1
1
1
